Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-19946.988367233487224439,11684.423263957098242827,43511.217134673759574071
78.447050070740360184,-20009.805456122474424774,11546.054705880898836767,43526.463841479118855204
310.359687764160355528,-20193.108157621431018924,11135.623374822042023879,43566.319608876787242480
685.602217972753237518,-20482.029688253263884690,10467.342606608490314102,43614.290730506756517570
1187.774741512969512769,-20853.655903932027285919,9565.396536665031817392,43646.538616069607087411
1794.929909414981921145,-21279.593635378962062532,8464.252276093055115780,43636.653305009022005834
2480.532127387735727098,-21729.125339186313794926,7208.411946118482774182,43561.077738799293001648
3214.617288621371699264,-22172.547705014167149784,5851.251627272602490848,43404.223591559893975500
3965.102349038557349559,-22584.242685884790262207,4452.809364491563428601,43162.381751982793502975
4699.187510272194231220,-22945.037548327596596209,3076.649926980743657623,42845.729594463518878911
5384.789728244946672930,-23243.486731815017265035,1786.167665961958618936,42478.034785631636623293
5991.944896146958853933,-23475.856547491028322838,640.825003066564249821,42094.013048132132098544
6494.117419687176152365,-23644.807299188771139598,-307.175022324898009174,41734.676790289115160704
6869.359949895769204886,-23757.021682116530428175,-1015.420865137612622675,41441.367267164598160889
7101.272587589189242863,-23820.274311146498803282,-1452.902923377303750385,41249.436011855133983772
7179.719637659929503570,-23840.604699375449854415,-1600.825412858516301640,41182.664985053044802044
7179.719637659929503570,-19946.988367233487224439,11684.423263957098242827,43511.217134673759574071
7258.166687730669764278,-20009.805456122474424774,11546.054705880898836767,43526.463841479118855204
7490.079325424089802254,-20193.108157621431018924,11135.623374822042023879,43566.319608876787242480
7865.321855632682854775,-20482.029688253263884690,10467.342606608490314102,43614.290730506756517570
8367.494379172898334218,-20853.655903932027285919,9565.396536665033636382,43646.538616069607087411
8974.649547074910515221,-21279.593635378962062532,8464.252276093058753759,43636.653305009022005834
9660.251765047665685415,-21729.125339186313794926,7208.411946118483683676,43561.077738799293001648
10394.336926281301202835,-22172.547705014167149784,5851.251627272604309837,43404.223591559893975500
11144.821986698487307876,-22584.242685884790262207,4452.809364491564338095,43162.381751982793502975
11878.907147932124644285,-22945.037548327596596209,3076.649926980743657623,42845.729594463518878911
12564.509365904876176501,-23243.486731815017265035,1786.167665961960210552,42478.034785631636623293
13171.664533806888357503,-23475.856547491028322838,640.825003066565841436,42094.013048132132098544
13673.837057347105655936,-23644.807299188771139598,-307.175022324896417558,41734.676790289115160704
14049.079587555697798962,-23757.021682116530428175,-1015.420865137609325757,41441.367267164598160889
14280.992225249119655928,-23820.274311146498803282,-1452.902923377303977759,41249.436011855126707815
14359.439275319859007141,-23840.604699375449854415,-1600.825412858514937398,41182.664985053037526086
14359.439275319859007141,-19946.988367233487224439,11684.423263957098242827,43511.217134673759574071
14437.886325390600177343,-20009.805456122474424774,11546.054705880897017778,43526.463841479118855204
14669.798963084020215319,-20193.108157621431018924,11135.623374822040204890,43566.319608876787242480
15045.041493292612358346,-20482.029688253260246711,10467.342606608490314102,43614.290730506756517570
15547.214016832827837788,-20853.655903932023647940,9565.396536665033636382,43646.538616069607087411
16154.369184734840018791,-21279.593635378958424553,8464.252276093058753759,43636.653305009022005834
16839.971402707593369996,-21729.125339186310156947,7208.411946118487321655,43561.077738799293001648
17574.056563941230706405,-22172.547705014167149784,5851.251627272604309837,43404.223591559893975500
18324.541624358414992457,-22584.242685884790262207,4452.809364491567976074,43162.381751982793502975
19058.626785592052328866,-22945.037548327596596209,3076.649926980747295602,42845.729594463518878911
19744.229003564803861082,-23243.486731815017265035,1786.167665961963848531,42478.034785631636623293
20351.384171466816042084,-23475.856547491028322838,640.825003066569479415,42094.013048132132098544
20853.556695007035159506,-23644.807299188771139598,-307.175022324896303871,41734.676790289115160704
21228.799225215625483543,-23757.021682116530428175,-1015.420865137605687778,41441.367267164598160889
21460.711862909047340509,-23820.274311146498803282,-1452.902923377300339780,41249.436011855126707815
21539.158912979786691722,-23840.604699375449854415,-1600.825412858511299419,41182.664985053037526086
21539.158912979786691722,-19946.988367233487224439,11684.423263957098242827,43511.217134673759574071
21617.605963050526042935,-20009.805456122474424774,11546.054705880900655757,43526.463841479118855204
21849.518600743947899900,-20193.108157621434656903,11135.623374822040204890,43566.319608876787242480
22224.761130952541861916,-20482.029688253267522668,10467.342606608486676123,43614.290730506756517570
22726.933654492757341359,-20853.655903932030923897,9565.396536665029998403,43646.538616069607087411
23334.088822394769522361,-21279.593635378965700511,8464.252276093055115780,43636.653305009022005834
24019.691040367521054577,-21729.125339186313794926,7208.411946118486412161,43561.077738799293001648
24753.776201601158390986,-22172.547705014170787763,5851.251627272603400343,43404.223591559893975500
25504.261262018346315017,-22584.242685884793900186,4452.809364491559790622,43162.381751982793502975
26238.346423251983651426,-22945.037548327600234188,3076.649926980739110149,42845.729594463518878911
26923.948641224735183641,-23243.486731815020903014,1786.167665961955663079,42478.034785631636623293
27531.103809126747364644,-23475.856547491031960817,640.825003066561293963,42094.013048132132098544
28033.276332666966482066,-23644.807299188774777576,-307.175022324904489324,41734.676790289115160704
28408.518862875556806102,-23757.021682116534066154,-1015.420865137613873230,41441.367267164598160889
28640.431500568978663068,-23820.274311146502441261,-1452.902923377308525232,41249.436011855126707815
28718.878550639718014281,-23840.604699375453492394,-1600.825412858519484871,41182.664985053037526086
28718.878550639718014281,-19946.988367233487224439,11684.423263957098242827,43511.217134673759574071
28797.325600710457365494,-20009.805456122474424774,11546.054705880900655757,43526.463841479118855204
29029.238238403879222460,-20193.108157621434656903,11135.623374822040204890,43566.319608876787242480
29404.480768612473184476,-20482.029688253267522668,10467.342606608486676123,43614.290730506756517570
29906.653292152688663919,-20853.655903932030923897,9565.396536665029998403,43646.538616069607087411
30513.808460054700844921,-21279.593635378965700511,8464.252276093055115780,43636.653305009022005834
31199.410678027452377137,-21729.125339186313794926,7208.411946118486412161,43561.077738799293001648
31933.495839261089713546,-22172.547705014170787763,5851.251627272603400343,43404.223591559893975500
32683.980899678277637577,-22584.242685884793900186,4452.809364491559790622,43162.381751982793502975
33418.066060911914973985,-22945.037548327600234188,3076.649926980739110149,42845.729594463518878911
34103.668278884666506201,-23243.486731815020903014,1786.167665961955663079,42478.034785631636623293
34710.823446786678687204,-23475.856547491031960817,640.825003066561293963,42094.013048132132098544
35212.995970326897804625,-23644.807299188774777576,-307.175022324904489324,41734.676790289115160704
35588.238500535488128662,-23757.021682116534066154,-1015.420865137613873230,41441.367267164598160889
35820.151138228909985628,-23820.274311146502441261,-1452.902923377308525232,41249.436011855126707815
35898.598188299649336841,-23840.604699375453492394,-1600.825412858519484871,41182.664985053037526086
35898.598188299649336841,-19946.988367233487224439,11684.423263957098242827,43511.217134673759574071
35977.045238370388688054,-20009.805456122474424774,11546.054705880900655757,43526.463841479118855204
36208.957876063810545020,-20193.108157621434656903,11135.623374822040204890,43566.319608876787242480
36584.200406272400869057,-20482.029688253263884690,10467.342606608493952081,43614.290730506756517570
37086.372929812619986478,-20853.655903932030923897,9565.396536665029998403,43646.538616069607087411
37693.528097714632167481,-21279.593635378965700511,8464.252276093055115780,43636.653305009022005834
