Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-19946.988367233487224439,11684.423263957098242827,43511.217134673759574071
78.447050070740360184,-20009.805472276802902343,11546.054715296299036709,43526.463852404216595460
310.359687764160355528,-20193.108411270011856686,11135.623520444543828489,43566.319780185134732164
685.602217972753237518,-20482.030932371901144506,10467.343303436464339029,43614.291568899730918929
1187.774741512969512769,-20853.659663604623347055,9565.398572847330797231,43646.541142059017147403
1794.929909414981921145,-21279.602292472103727050,8464.256773774402972776,43636.659100105738616548
2480.532127387735727098,-21729.142029463015205692,7208.420208092694338120,43561.088865238794824108
3214.617288621371699264,-22172.576024884096113965,5851.264912563867255813,43404.242388603452127427
3965.102349038557349559,-22584.286237810891179834,4452.828653901782672619,43162.410533790010958910
4699.187510272194231220,-22945.099383884800772648,3076.675738996894324373,42845.770291021923185326
5384.789728244946672930,-23243.568775987168919528,1786.199966220038277243,42478.088580273353727534
5991.944896146958853933,-23475.959103814457193948,640.863221601237682989,42094.080073143639310729
6494.117419687176152365,-23644.928737691880087368,-307.131885149248091693,41734.755942830575804692
6869.359949895769204886,-23757.158393755991710350,-1015.374089725905605519,41441.456195069724344648
7101.272587589189242863,-23820.420969846938533010,-1452.853932445140117125,41249.531290128601540346
7179.719637659929503570,-23840.754811662227439228,-1600.775680105438823375,41182.762465187857742421
7179.719637659929503570,-23840.754811662227439228,-1600.775680105438823375,41182.762465187857742421
7258.166687730669764278,-23860.546889205437764758,-1748.661049763157734560,41115.057737630726478528
7490.079325424089802254,-23915.871109679916116875,-2185.607507357850863627,40909.419493098575912882
7865.321855632682854775,-23995.192842326363461325,-2891.631687200732812926,40559.276817137470061425
8367.494379172898334218,-24081.285904655684134923,-3833.991438407163968805,40056.831629008644085843
8974.649547074910515221,-24153.978191693939152174,-4968.269319069395351107,39397.176642939164594281
9660.251765047665685415,-24193.508100121383904479,-6240.252206294946518028,38582.943486668533296324
10394.336926281301202835,-24184.042200578631309327,-7588.745315174478491826,37628.587244374029978644
11144.821986698487307876,-24116.832888478853419656,-8949.264971828377383645,36563.421285324970085640
11878.907147932124644285,-23992.471816352481255308,-10258.300242289225934655,35432.652327844472893048
12564.509365904876176501,-23821.741688005673495354,-11457.586583624773993506,34295.920364953140961006
13171.664533806888357503,-23624.712094486796559067,-12497.680403694925189484,33223.209230433945776895
13673.837057347105655936,-23427.986978901415568544,-13340.154631702132974169,32288.436556263139209477
14049.079587555697798962,-23260.387034448081976734,-13958.020289225059968885,31561.500397694562707329
14280.992225249119655928,-23147.777701564617018448,-14334.499915117961791111,31099.955887288233498111
14359.439275319859007141,-23108.101416293877264252,-14460.873575938059730106,30941.699074289528653026
14359.439275319859007141,-23108.101416293877264252,-14460.873575938059730106,30941.699074289528653026
14437.886325390600177343,-23067.616844225700333482,-14586.741410801390884444,30782.359887216585775604
14669.798963084020215319,-22943.163444480564066907,-14955.807585810880482313,30304.956023694314353634
15045.041493292612358346,-22726.456446728341688868,-15542.907471071846885025,29512.284817495805327781
15547.214016832827837788,-22405.999241595229250379,-16307.658069006802179501,28412.026006351756223012
16154.369184734840018791,-21970.307232427923736395,-17197.001182195341243641,27020.693304757751320722
16839.971402707593369996,-21411.935092660838563461,-18149.079822160547337262,25368.084421764600847382
17574.056563941230706405,-20731.818219532869989052,-19098.551760628663032549,23501.289328120830759872
18324.541624358414992457,-19943.291385883720067795,-19983.195160533552552806,21487.227460312471521320
19058.626785592052328866,-19075.003402332622499671,-20751.239149907476530643,19412.722174121277930681
19744.229003564803861082,-18171.848774841178965289,-21368.278207472019857960,17381.346270348534744699
20351.384171466816042084,-17293.083848426533222664,-21822.033677848554361844,15506.769006318079846096
20853.556695007035159506,-16507.128917076803190866,-22122.934309618438419420,13903.130233819512795890
21228.799225215625483543,-15883.279370051732257707,-22299.004878689444012707,12673.888045168367170845
21460.711862909047340509,-15481.554972448788248585,-22385.256118113396951230,11901.186381511624858831
21539.158912979786691722,-15342.814346818140620599,-22410.333059106607834110,11637.599543484580863151
21539.158912979786691722,-15342.814346818140620599,-22410.333059106607834110,11637.599543484580863151
21617.605963050526042935,-15202.614776050795626361,-22433.278948031758773141,11372.905961317390392651
21849.518600743947899900,-14779.512969953784704558,-22488.291323325323901372,10583.996822697605239227
22224.761130952541861916,-14067.049237257626373321,-22534.603191485250135884,9287.756370694547513267
22726.933654492757341359,-13057.965517283837471041,-22506.854030979255185230,7516.752527294405808789
23334.088822394769522361,-11749.491619752530823462,-22319.778609835724637378,5325.356392903942833073
24019.691040367521054577,-10150.730153029275243171,-21876.513808728126605274,2797.070183956816435966
24753.776201601158390986,-8291.841816524505702546,-21082.432272984362498391,51.207205604424416379
25504.261262018346315017,-6233.867067075438171742,-19866.668535682245419594,-2754.647445311511091859
26238.346423251983651426,-4076.009295513105371356,-18211.973350630654749693,-5432.472095185254147509
26923.948641224735183641,-1954.150625438860515715,-16187.585438793432331295,-7789.302469535095951869
27531.103809126747364644,-23.313952016291750624,-13968.658080354212870589,-9671.870073101274101646
28033.276332666966482066,1575.620791177152341334,-11819.069939479088134249,-11013.724233247417942039
28408.518862875556806102,2748.175270154440113402,-10031.464456049909131252,-11850.784006149811830255
28640.431500568978663068,3454.385207466674728494,-8854.160815214723697864,-12284.892398510226485087
28718.878550639718014281,3689.035929041778217652,-8444.243694975035396055,-12416.094620690673764329
28718.878550639718014281,3689.035929041778217652,-8444.243694975035396055,-12416.094620690673764329
28797.325600710457365494,3921.240133443794093182,-8028.727840091199141170,-12539.059062111758976243
29029.238238403879222460,4591.591897763057204429,-6769.676690961518033873,-12852.645010840811664821
29404.480768612473184476,5615.336880559231758525,-4648.862489897695922991,-13193.746294710830625263
29906.653292152688663919,6839.031724199963719002,-1698.335573999134794576,-13312.328137607009921339
30513.808460054700844921,8049.761287650713711628,1927.560956315726798493,-12937.908225292112547322
