Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-19946.988367233487224439,11684.423263957098242827,43511.217134673759574071
78.447050070740360184,-20009.805472276791988406,11546.054715296317226603,43526.463852404202043545
310.359687764160355528,-20193.108411267519841203,11135.623520448350973311,43566.319780183344846591
685.602217972753237518,-20482.030932345296605490,10467.343303484449279495,43614.291568885877495632
1187.774741512969512769,-20853.659663499063753989,9565.398573096841573715,43646.541142045192827936
1794.929909414981921145,-21279.602292252606275724,8464.256774577454052633,43636.659100274628144689
2480.532127387735727098,-21729.142029252248903504,7208.420209968387098343,43561.088866168967797421
3214.617288621371699264,-22172.576025076643418288,5851.264916016145434696,43404.242391345360374544
3965.102349038557349559,-22584.286239009965356672,4452.828659177916961198,43162.410539585820515640
4699.187510272194231220,-22945.099386642639728962,3076.675745969126637647,42845.770300762582337484
5384.789728244946672930,-23243.568780531211814377,1786.199974483822643379,42478.088594081105838995
5991.944896146958853933,-23475.959109979838103754,640.863230696977780099,42094.080090406430826988
6494.117419687176152365,-23644.928745087927381974,-307.131875568918246699,41734.755962613744486589
6869.359949895769204886,-23757.158401977449102560,-1015.374079868271564919,41441.456216510137892328
7101.272587589189242863,-23820.420978550355357584,-1452.853922436015636777,41249.531312529448769055
7179.719637659929503570,-23840.754820527545234654,-1600.775670046527011436,41182.762487910571508110
7179.719637659929503570,-23840.754820527545234654,-1600.775670046527011436,41182.762487910571508110
7258.166687730669764278,-23860.546898233267711475,-1748.661039654741443883,41115.057760676194448024
7490.079325424089802254,-23915.871119199819077039,-2185.607497102437264402,40909.419517119284137152
7865.321855632682854775,-23995.192852740532543976,-2891.631676696651993552,40559.276842917694011703
8367.494379172898334218,-24081.285916648841521237,-3833.991427561212276487,40056.831657828020979650
8974.649547074910515221,-24153.978206549774768064,-4968.269307908802147722,39397.176677056319022086
9660.251765047665685415,-24193.508119926729705185,-6240.252195192386352574,38582.943529526906786487
10394.336926281301202835,-24184.042227988287777407,-7588.745305007759270666,37628.587300073530059308
11144.821986698487307876,-24116.832925888818863314,-8949.264963784964493243,36563.421357291001186240
11878.907147932124644285,-23992.471864808430837002,-10258.300237245040989364,35432.652417323282861616
12564.509365904876176501,-23821.741746592950221384,-11457.586581508643575944,34295.920470371362171136
13171.664533806888357503,-23624.712160771192429820,-12497.680403468726581195,33223.209348194475751370
13673.837057347105655936,-23427.987050145573448390,-13340.154632082498210366,32288.436682401574216783
14049.079587555697798962,-23260.387108597762562567,-13958.020289463340304792,31561.500529086737515172
14280.992225249119655928,-23147.777777308830991387,-14334.499915114538453054,31099.956021677455282770
14359.439275319859007141,-23108.101492572182905860,-14460.873575849753251532,30941.699209685342793819
14359.439275319859007141,-23108.101492572182905860,-14460.873575849753251532,30941.699209685342793819
14437.886325390600177343,-23067.616921043911133893,-14586.741410633519990370,30782.360023625620669918
14669.798963084020215319,-22943.163522984184965026,-14955.807585485199524555,30304.956163203285541385
15045.041493292612358346,-22726.456528650473046582,-15542.907471111238919548,29512.284962816054758150
15547.214016832827837788,-22405.999330669255868997,-16307.658072026606532745,28412.026162288733758032
16154.369184734840018791,-21970.307336393423611298,-17197.001195434924738947,27020.693480009784252616
16839.971402707593369996,-21411.935224524357181508,-18149.079859915880660992,25368.084629468321509194
17574.056563941230706405,-20731.818396160819247598,-19098.551844011737557594,23501.289583521731401561
