Time (s), X (km), Y (km), Z (km)
0.0000000000000,-19946.9883672334872,11684.4232639570982,43511.2171346737596
78.4473818157293,-20009.8057211301675,11546.0541203635075,43526.4639045638905
310.3610002452682,-20193.1091883822264,11135.6210483539180,43566.3198201315827
685.6051173182356,-20482.0319014216693,10467.3374333040119,43614.2910602835182
1187.7797644974937,-20853.6595878542321,9565.3875010091142,43646.5388698878523
1794.9374999999995,-21279.5989218910145,8464.2385013264866,43636.6531072346261
2480.5426173182354,-21729.1321954184132,7208.3927467738540,43561.0765545467148
3214.6308829270329,-22172.5559475125665,5851.2265587237926,43404.2207862334326
3965.1191170729671,-22584.2520166490613,4452.7782602480875,43162.3766811487731
4699.2073826817641,-22945.0476081713023,3076.6129151799978,42845.7217099368572
5384.8124999999991,-23243.4971615236173,1786.1251608536841,42478.0237381369807
5991.9702355025047,-23475.8670451552061,640.7776735018269,42093.9987670429982
6494.1448826817641,-23644.8176626756940,-307.2263002196996,41734.6595261204056
6869.3889997547321,-23757.0318291813055,-1015.4750618484541,41441.3475897619501
7101.3026181842706,-23820.2842733346661,-1452.9589082688763,41249.4147632438689
7179.7500000000000,-23840.6145900030424,-1600.8819996446109,41182.6431910246029
7179.7500000000000,-23840.6145900030424,-1600.8819996446109,41182.6431910246029
7258.1973818157294,-23860.4030925333682,-1748.7687070380634,41114.9356818042579
7490.1110002452679,-23915.7164503793647,-2185.7190806587896,40909.2890118781361
7865.3551173182359,-23995.0196641865368,-2891.7494527447707,40559.1320590038667
8367.5297644974944,-24081.0860793162901,-3834.1171424492932,40056.6665024996619
8974.6875000000000,-24153.7432106273081,-4968.4039372961706,39396.9849272171850
9660.2926173182350,-24193.2294056641585,-6240.3957300523034,38582.7191094902228
10394.3808829270329,-24183.7117659697433,-7588.8966289993114,37628.3247234492446
11144.8691170729671,-24116.4440153720097,-8949.4218965416512,36563.1162956484477
11878.9573826817650,-23992.0200709605597,-10258.4598020735866,35432.3023243264179
12564.5625000000000,-23821.2258477907635,-11457.7455082919187,34295.5251603775541
13171.7202355025038,-23624.1349363800146,-12497.8358005165792,33222.7714146000217
13673.8948826817650,-23427.3557225326549,-13340.3046742995939,32287.9616519144620
14049.1389997547321,-23259.7132783663001,-13958.1647111383936,31560.9966878776322
14281.0526181842706,-23147.0767665396452,-14334.6401080907526,31099.4339092659648
14359.5000000000000,-23107.3911271466823,-14461.0122007859609,30941.1708366574603
14359.5000000000000,-23107.3911271466823,-14461.0122007859609,30941.1708366574603
14437.9473818157294,-23066.8971190064512,-14586.8783958405693,30781.8253495511017
14669.8610002452679,-22942.4153395214416,-14955.9392911827163,30304.4026256771176
15045.1051173182350,-22725.6608642559331,-15543.0291930006788,29511.7001627352438
15547.2797644974944,-22405.1370246995539,-16307.7633991626062,28411.3981141852564
16154.4375000000000,-21969.3595421303362,-17197.0815116998710,27020.0110524347401
16840.0426173182350,-21410.8841467088387,-18149.1241224513360,25367.3382023102022
17574.1308829270347,-20730.6484282406345,-19098.5468245216616,23500.4718906669295
18324.6191170729653,-19941.9908477718309,-19983.1265101407625,21486.3348195175058
19058.7073826817650,-19073.5656146368310,-20751.0927725353249,19411.7543860948063
19744.3125000000000,-18170.2742823323533,-21368.0431146778137,17380.3078122860170
20351.4702355025038,-17291.3814426407516,-21821.7049711919826,15505.6685312496847
20853.6448826817650,-16505.3159926792905,-22122.5160457513266,13901.9796555549256
21228.8889997547303,-15881.3812158855908,-22298.5117505373637,12672.7012101546279
21460.8026181842724,-15479.6030843521767,-22384.7130612396722,11899.9778239256120
21539.2500000000000,-15340.8441096522911,-22409.7724513686408,11636.3837778372108
21539.2500000000000,-15340.8441096522911,-22409.7724513686408,11636.3837778372108
21617.6973818157276,-15200.6261057710108,-22432.7004462660116,11371.6830648276373
21849.6110002452697,-14777.4693369018678,-22487.6578638597566,10582.7533370237215
22224.8551173182350,-14064.9153335463088,-22533.8740074993984,9286.4813646999537
22727.0297644974926,-13055.7087823651564,-22505.9826633350749,7515.4396130768000
23334.1875000000000,-11747.0848157830369,-22318.7118485884566,5324.0059962095111
24019.7926173182350,-10148.1552485987377,-21875.1922346197825,2795.6915843160241
24753.8808829270347,-8289.0949572805148,-21080.7929272943002,49.8191952248453
25504.3691170729653,-6230.9634523089808,-19864.6492749669414,-2756.0187948635430
26238.4573826817650,-4072.9857329834085,-18209.5168032192450,-5433.7986418856890
26924.0625000000000,-1951.0636774539780,-16184.6412603382778,-7790.5581952976645
27531.2202355025038,-20.2329653534871,-13965.1898554612708,-9673.0291039394797
28033.3948826817650,1578.6276878383178,-11815.0784829419863,-11014.7590218671248
28408.6389997547303,2751.0656788092274,-10027.0195664644998,-11851.6801445866586
28640.5526181842724,3457.1683933571148,-8849.4093655583274,-12285.6743876305991
28719.0000000000000,3691.7756048011761,-8439.3845057122235,-12416.8320295831072
28719.0000000000000,3691.7756048011761,-8439.3845057122235,-12416.8320295831072
28797.4473818157276,3923.9322897029742,-8023.7591241866176,-12539.7485817663255
29029.3610002452697,4594.1180844755545,-6764.3758181080048,-12853.1720864867675
29404.6051173182350,5617.5033289698586,-4643.0134183417831,-13193.9385376478895
29906.7797644974926,6840.5179542546794,-1691.7958518851374,-13311.9327101764502
30513.9375000000000,8050.1253483920991,1934.7319175873126,-12936.6497854074696
