Time (s), X (km), Y (km), Z (km)
0.0000000000000,-19946.9883672334872,11684.4232639570982,43511.2171346737596
78.4470500707404,-20009.8054725041184,11546.0547154285741,43526.4638528984069
310.3596877641604,-20193.1084148270347,11135.6235224926641,43566.3197879228537
685.6022179727532,-20482.0309498052848,10467.3433132689242,43614.2916066652251
1187.7747415129695,-20853.6597162334983,9565.3986016880517,43646.5412555071525
1794.9299094149819,-21279.6024136900705,8464.2568377550488,43636.6593596912280
2480.5321273877357,-21729.1422635264498,7208.4203261002694,43561.0893625724420
3214.6172886213717,-22172.5764230660898,5851.2651029392873,43404.2432274206367
3965.1023490385573,-22584.2868521806122,4452.8289308972453,43162.4118164039974
4699.1875102721942,-22945.1002593041667,3076.6761100176518,42845.7721021471370
5384.7897282449467,-23243.5699415582967,1786.2004305669834,42478.0909710824781
5991.9448961469589,-23475.9605653974031,640.8637708524038,42094.0830481662706
6494.1174196871762,-23644.9304730497570,-307.1312655037473,41734.7594525339373
6869.3599498957692,-23757.1603515029456,-1015.3734181094187,41441.4601354711049
7101.2725875891892,-23820.4230729200681,-1452.8532292260061,41249.5355103367765
7179.7196376599295,-23840.7569652887069,-1600.7749663129653,41182.7667824390519
7179.7196376599295,-23840.7569652887069,-1600.7749663129653,41182.7667824390519
7258.1666877306698,-23860.5490941004136,-1748.6603254644870,41115.0621531466313
7490.0793254240898,-23915.8734703810078,-2185.6067524479440,40909.4242063253478
7865.3218556326829,-23995.1954689043814,-2891.6308844673185,40559.2820353333664
8367.4943791728983,-24081.2889148514259,-3833.9905760061665,40056.8375693003472
8974.6495470749105,-24153.9817107440213,-4968.2683935423120,39397.1835299490776
9660.2517650476657,-24193.5122572948785,-6240.2512256919144,38582.9515441481781
10394.3369262813012,-24184.0471216461774,-7588.7443012154399,37628.5966803387564
11144.8219866984873,-24116.8386838284823,-8949.2639597353264,36563.4322711502027
11878.9071479321246,-23992.4785657234061,-10258.2992768489494,35432.6649738617998
12564.5093659048762,-23821.7494237851388,-11457.5857114081009,34295.9346962285053
13171.6645338068884,-23624.7207869177255,-12497.6796625616698,33223.2251678689208
13673.8370573471057,-23427.9965262368823,-13340.1540398417710,32288.4539066900325
14049.0795875556978,-23260.3972610714882,-13958.0198369055724,31561.5188562989060
