Time (s), X (km), Y (km), Z (km)
0,-19947,11684.4,43511.2
160.334,-20074.9,11401.4,43541.4
639.689,-20447.2,10549.4,43609.5
1433.15,-21028.9,9121.72,43649
2532.57,-21761.9,7112.61,43552.5
3926.67,-22564.2,4524.66,43176.8
5601.14,-23329.8,1378.23,42347.5
7538.81,-23926.7,-2277.41,40865.1
9719.78,-24194.5,-6350.24,38508.6
12121.7,-23937.7,-10685.8,35038.9
14719.9,-22914.7,-15035,30200.3
17487.7,-20815.5,-18991.1,23725.8
20396.7,-17223.4,-21852.6,15363.5
23417.1,-11561.9,-22282.3,5020.67
26517.9,-3217.92,-17451,-6423.45
29667.2,6214.38,-3156.79,-13219.6
32832.8,9697.92,13846.9,-7578.42
35982.1,7084.68,23201.1,3560.98
39082.9,2432.11,26245.7,13931.8
42103.3,-2510.16,25474.3,22163.6
45012.3,-7072.38,22430.5,28141.3
47780.1,-10973.6,18087.6,32043.2
50378.3,-14101.4,13110.4,34131.9
52780.2,-16434.3,7980.3,34704.1
54961.2,-18011.6,3053.66,34077.3
56898.9,-18918.9,-1411.12,32582.9
58573.3,-19279.1,-5240.99,30559.5
59967.4,-19243.1,-8340.88,28340.3
61066.9,-18976.2,-10684.3,26237.7
61860.3,-18641.4,-12297,24522.5
62339.7,-18377.5,-13231.4,23404.7
62500,-18278.4,-13536.3,23017
62500,-18278.4,-13536.3,23017
62660.3,-18173.9,-13837.1,22622.4
63139.7,-17827.5,-14710.3,21400.8
63933.1,-17138.2,-16058.2,19240.9
65032.6,-15926.6,-17680.8,15963.3
66426.7,-13916.7,-19200.9,11340.8
68101.1,-10712.7,-19905.5,5166.66
70038.8,-5819.82,-18413.6,-2476.65
72219.8,940.697,-12238.5,-10177.3
74621.7,7472.34,277.396,-13063.8
77219.9,9576.71,13694.1,-7469.57
79987.7,7241.33,21962.2,2421.79
82896.7,2763.92,24918.2,12420.3
85917.1,-2395.74,23876.1,20849.5
89017.9,-7434.9,19959.4,27066.5
92167.2,-11847.8,14045.7,30784.1
95332.8,-15260.3,6879.42,31856
98482.1,-17353.8,-832.763,30208.5
101583,-17823.8,-8335.33,25826.3
104603,-16352.4,-14711.5,18783.1
107512,-12606,-18692.1,9369.17
110280,-6372.37,-18347,-1450.02
112878,1595.3,-11257.3,-10656.6
115280,7803.27,1416.36,-12859.1
117461,9461.13,12639.3,-7997.87
119399,8180.69,19270,-1116.38
121073,5936.54,22477.2,5094.67
122467,3665.07,23702.8,9976.52
123567,1749.29,23917.2,13524.4
124360,337.926,23723,15893.3
124840,-517.592,23479.8,17241.9
125000,-803.472,23378.7,17678.9
125000,-803.472,23378.7,17678.9
125160,-1089.03,23268.1,18108.6
125640,-1939.76,22883,19350.1
126433,-3332.42,22078,21261.1
127533,-5213.18,20654.1,23607.9
128927,-7483.57,18408.7,26074.8
130601,-9990.7,15182.7,28279.8
132539,-12522.2,10898.6,29792.6
134720,-14802.6,5592.66,30149.4
137122,-16485.3,-549.826,28864.4
139720,-17134,-7134.5,25437.3
142488,-16184.5,-13428.9,19376.8
145397,-12887.9,-18052.7,10313.7
148417,-6354.85,-18224.7,-1396.07
151518,3077.57,-9035.07,-11741.3
154667,9064.98,7724.34,-10712
157833,7270.73,18779.8,157.16
160982,1716.41,20901.8,11486.3
164083,-4367.67,17006.4,19571.9
167103,-9454.49,9709.96,23523.8
170012,-12743.5,996.004,23300.7
172780,-13750.3,-7451.05,19214.3
175378,-12190.1,-13985.1,11903.6
177780,-8061.88,-16864.2,2578.2
179961,-2039.86,-14550.7,-6497.06
181899,3982.03,-7239.68,-12097.7
183573,7810.12,1763.45,-12629.9
184967,9116.72,9009.95,-9910.04
186067,8973.47,13651.9,-6428.7
186860,8359.62,16260.1,-3526.41
187340,7825.44,17529.2,-1696.37
187500,7623.52,17903.3,-1078.07
187500,7623.52,17903.3,-1078.07
187660,7411.05,18252.6,-458.276
188140,6718.98,19152.7,1395.24
188933,5419.29,20190.2,4422.31
190033,3397.4,20780.5,8419.78
191427,641.156,20310.1,12982.5
193101,-2708.66,18277.9,17512.7
195039,-6349.82,14396.9,21274.3
197220,-9827.74,8654.64,23452.3
199622,-12534.8,1376.59,23195.1
202220,-13682.1,-6639.79,19657.2
204988,-12244.5,-13786.6,12138.1
207897,-7026.78,-16844.6,755.476
210917,1928.51,-10295.6,-10579.1
214018,8507.42,5460.11,-11297
217167,6893.77,16657.1,-649.829
220333,508.154,17178.1,11041.1
223482,-6209.71,9752.08,17796.5
226583,-10357.4,-1444.49,17370.9
229603,-9859.46,-11534.1,9472.9
232512,-3769.71,-14209.5,-3190.94
235280,4676.66,-5114.05,-11852.3
237878,8317.57,8215.17,-9044.81
240280,5911.15,15357.9,190.223
242461,995.36,15221.4,8816.41
244399,-3751.38,10671.5,14074.4
246073,-7138.26,4516.04,15803.6
247467,-8932.49,-1317.88,14930.9
248567,-9447.84,-5818.98,12715.9
249360,-9240.19,-8731.15,10322.9
249840,-8861.15,-10261.3,8586.67
250000,-8690.69,-10724.6,7962.15
250000,-8690.69,-10724.6,7962.15
250160,-8498.23,-11160.8,7317.48
250640,-7792.11,-12285.8,5282.64
251433,-6206.23,-13460.8,1652.22
252533,-3265.27,-13384.5,-3512.28
253927,1149.25,-10129.7,-9081.27
255601,5861.6,-2463.84,-12112
257539,8237.86,7486.98,-9409.65
259720,6408.69,14577.4,-1235.08
262122,1065.5,14851.4,8434.73
264720,-5220.26,7726.1,14632.6
267488,-8929.13,-3899.94,13129.8
270397,-6318.57,-12650.2,2415.04
273417,2493.06,-7711.36,-9784.04
276518,7051.77,7189.94,-7511.93
279667,477.544,9111.78,5487.51
282833,-3519.27,-3949.7,3497.61
285982,11976.6,6621.33,-16644.4
289083,23748.9,18337.6,-29384.1
292103,33878.8,28756.2,-40112.5
295012,43064,38310.6,-49765.5
297780,51488.9,47122.6,-58585.6
300378,59204.5,55218.5,-66645.5
302780,66212.6,62586.6,-73956
304961,72493.4,69199,-80501.8
306899,78018.7,75021.4,-86256.4
308573,82757.8,80018.6,-91189.7
309967,86680.8,84157.3,-95272.3
311067,89761.6,87408.5,-98477.6
311860,91978.3,89748.4,-100783
312340,93314.9,91159.5,-102174
312500,93761.5,91631.1,-102638
312500,93761.5,91631.1,-102638
312660,94208,92102.4,-103103
313140,95541.5,93510.5,-104489
313933,97744.8,95837.4,-106781
315033,100790,99053.9,-109947
316427,104640,103121,-113949
318101,109247,107989,-118738
320039,114557,113602,-124257
322220,120510,119896,-130442
324622,127039,126801,-137225
327220,134073,134241,-144532
329988,141537,142138,-152284
332897,149353,150409,-160400
335917,157440,158967,-168797
339018,165715,167727,-177388
342167,174094,176597,-186086
345333,182493,185490,-194804
348482,190828,194316,-203455
351583,199016,202986,-211953
354603,206975,211415,-220213
357512,214626,219519,-228153
360280,221894,227217,-235695
362878,228706,234433,-242764
365280,234996,241095,-249291
367461,240700,247138,-255210
369399,245764,252502,-260464
371073,250136,257134,-265000
372467,253774,260988,-268775
373567,256641,264026,-271750
374360,258709,266217,-273896
374840,259959,267541,-275192
375000,260376,267983,-275626
375000,260376,267983,-275626
375160,260794,268426,-276059
375640,262043,269749,-277355
376433,264110,271939,-279499
377533,266973,274972,-282470
378927,270601,278816,-286234
380601,274957,283431,-290753
382539,279994,288767,-295979
384720,285659,294770,-301857
387122,291894,301376,-308325
389720,298632,308516,-315316
392488,305805,316116,-322757
395397,313338,324098,-330572
398417,321152,332378,-338679
401518,329168,340873,-346994
404667,337303,349493,-355434
407833,345474,358152,-363910
410982,353597,366760,-372337
414083,361590,375230,-380628
417103,369370,383476,-388699
420012,376859,391412,-396467
422780,383981,398959,-403855
425378,390663,406041,-410786
427780,396837,412584,-417191
429961,402441,418523,-423004
431899,407419,423798,-428167
433573,411719,428355,-432627
434967,415298,432149,-436339
436067,418120,435139,-439267
436860,420156,437297,-441379
437340,421386,438601,-442655
437500,421797,439037,-443082
437500,421797,439037,-443082
437660,422209,439473,-443508
438140,423439,440777,-444784
438933,425474,442934,-446896
440033,428295,445923,-449821
441427,431870,449713,-453530
443101,436164,454263,-457984
445039,441131,459528,-463136
447220,446720,465451,-468934
449622,452874,471973,-475316
452220,459528,479026,-482219
454988,466614,486536,-489569
457897,474059,494427,-497291
460917,481787,502617,-505306
464018,489717,511022,-513532
467167,497768,519555,-521883
470333,505858,528130,-530274
473482,513904,536658,-538620
476583,521823,545051,-546834
479603,529535,553225,-554832
482512,536960,561095,-562534
485280,544023,568581,-569859
487878,550651,575606,-576734
490280,556777,582100,-583089
492461,562338,587994,-588857
