Time (s), Error (km)
0,0.000119945
160.334,0.000126767
639.689,0.000115622
1433.15,0.000105031
2532.57,0.000105265
3926.67,0.000106248
5601.14,0.000107759
7538.81,0.0001073
9719.78,0.00011649
12121.7,0.000119599
14719.9,0.00010609
17487.7,0.000105447
20396.7,0.000104875
23417.1,0.000106426
26517.9,0.000107681
29667.2,0.000106451
32832.8,7.11455e-322
35982.1,3.21143e-322
39082.9,0
42103.3,-14.405
45012.3,120.822
47780.1,-417.21
50378.3,702.659
52780.2,-564.951
54961.2,173.085
56898.9,3.21143e-322
58573.3,0
59967.4,-15.3527
61066.9,180.169
61860.3,-701.648
62339.7,1211.47
62500,-961.905
62500,287.268
62660.3,3.21143e-322
63139.7,0
63933.1,-19.5899
65032.6,128.442
66426.7,-321.876
68101.1,394.572
70038.8,-239.336
72219.8,57.7874
74621.7,4.05578e-320
77219.9,1.49005e+195
79987.7,9.80058e+252
82896.7,3.81385e+180
85917.1,5.0542e-310
89017.9,1.97626e-323
92167.2,-82.6564
95332.8,3.16202e-322
98482.1,3.16202e-322
101583,5.09544e-310
104603,5.09478e-310
107512,0
110280,0
112878,2.47033e-323
115280,13.5997
117461,6.32404e-322
119399,3.16202e-322
121073,5.09544e-310
122467,5.09478e-310
123567,5.09478e-310
124360,5.09478e-310
124840,2.96439e-323
125000,-4.57446
125000,9.48606e-322
125160,3.16202e-322
125640,5.09544e-310
126433,5.09478e-310
127533,0
128927,0
130601,3.45846e-323
132539,81.4194
134720,1.26481e-321
137122,3.16202e-322
139720,5.09544e-310
142488,5.09478e-310
145397,5.09478e-310
148417,5.09478e-310
151518,3.95253e-323
154667,-0.0141625
157833,1.58101e-321
160982,3.16202e-322
164083,5.09544e-310
167103,5.09478e-310
170012,0
172780,5.09478e-310
175378,4.44659e-323
177780,0.0137544
179961,1.89721e-321
181899,3.16202e-322
183573,5.09544e-310
184967,5.09478e-310
186067,0
186860,0
187340,4.94066e-323
187500,-0.00111166
187500,2.21341e-321
187660,3.16202e-322
188140,5.09544e-310
188933,6.9526e-310
190033,5.09478e-310
191427,5.09478e-310
193101,1.97626e-323
195039,-82.6564
197220,2.52962e-321
199622,3.16202e-322
202220,5.09544e-310
204988,5.09478e-310
207897,5.09478e-310
210917,5.09478e-310
214018,2.96439e-323
217167,-4.57446
220333,2.84582e-321
223482,3.16202e-322
226583,5.09544e-310
229603,5.09478e-310
232512,5.09478e-310
235280,5.09478e-310
237878,3.95253e-323
240280,-0.0141625
242461,3.16202e-321
244399,3.16202e-322
246073,5.09544e-310
247467,5.09478e-310
248567,0
249360,5.09478e-310
249840,4.44659e-323
250000,0.0137544
