Time (s), X (km), Y (km), Z (km)
0.0000000000000,-19946.9883672334872,11684.4232639570982,43511.2171346737596
78.4470500707404,-20009.8054561224744,11546.0547058808988,43526.4638414791189
310.3596877641604,-20193.1081576214310,11135.6233748220420,43566.3196088767872
685.6022179727532,-20482.0296882532639,10467.3426066084903,43614.2907305067565
1187.7747415129695,-20853.6559039320273,9565.3965366650318,43646.5386160696071
1794.9299094149819,-21279.5936353789621,8464.2522760930551,43636.6533050090220
2480.5321273877357,-21729.1253391863138,7208.4119461184828,43561.0777387992930
3214.6172886213717,-22172.5477050141671,5851.2516272726025,43404.2235915598940
3965.1023490385573,-22584.2426858847903,4452.8093644915634,43162.3817519827935
4699.1875102721942,-22945.0375483275966,3076.6499269807437,42845.7295944635189
5384.7897282449467,-23243.4867318150173,1786.1676659619586,42478.0347856316366
5991.9448961469589,-23475.8565474910283,640.8250030665642,42094.0130481321321
6494.1174196871762,-23644.8072991887711,-307.1750223248980,41734.6767902891152
6869.3599498957692,-23757.0216821165304,-1015.4208651376126,41441.3672671645982
7101.2725875891892,-23820.2743111464988,-1452.9029233773038,41249.4360118551340
7179.7196376599295,-23840.6046993754499,-1600.8254128585163,41182.6649850530448
7179.7196376599295,-23840.6046993754499,-1600.8254128585163,41182.6649850530448
7258.1666877306698,-23860.3932780824398,-1748.7115199392981,41114.9580283407777
7490.0793254240898,-23915.7068884567452,-2185.6601285570441,40909.3130335313035
7865.3218556326829,-23995.0105993868128,-2891.6876781736246,40559.1589248952878
8367.4943791728983,-24081.0778573060161,-3834.0516640432161,40056.6974386668298
8974.6495470749105,-24153.7362918084509,-4968.3341123809359,39397.0211972846591
9660.2517650476657,-24193.2243522980680,-6240.3212036061295,38582.7619578011218
10394.3369262813012,-24183.7091978726894,-7588.8173585291470,37628.3752791692677
11144.8219866984873,-24116.4445352679504,-8949.3381422944440,36563.1754471787353
11878.9071479321246,-23992.0241693513162,-10258.3720781100546,35432.3705845170480
12564.5093659048762,-23821.2338055428008,-11457.6545008124394,34295.6025504241261
13171.6645338068884,-23624.1467451973076,-12497.7422703215143,33222.8573908273756
13673.8370573471057,-23427.3710383694561,-13340.2093633553613,32288.0550881020827
14049.0795875556978,-23259.7314156446009,-13958.0682707026881,31561.0959149285736
14280.9922252491197,-23147.0967384029864,-14334.5430641353687,31099.5368107029426
14359.4392753198590,-23107.4117359769734,-14460.9149701518672,30941.2749979427062
14359.4392753198590,-23107.4117359769734,-14460.9149701518672,30941.2749979427062
14437.8863253906002,-23066.9183732937963,-14586.7809876932297,30781.9307793750013
14669.7989630840202,-22942.4385528523817,-14955.8414139283814,30304.5118572415668
15045.0414932926124,-22725.6874162843378,-15542.9307460741074,29511.8157136519003
15547.2140168328278,-22405.1683953639258,-16307.6645992139256,28411.5224594427600
16154.3691847348400,-21969.3973212854035,-17196.9830041430432,27020.1465638926929
16839.9714027075934,-21410.9299957912408,-18149.0270475723737,25367.4870348244986
17574.0565639412307,-20730.7039709745113,-19098.4527904777788,23500.6358068888549
18324.5416243584150,-19942.0574838294997,-19983.0374273918715,21486.5149744474511
19058.6267855920523,-19073.6442850603416,-20751.0105430078402,19411.9511269281211
19744.2290035648039,-18170.3652499898672,-21367.9692409076997,17380.5205608001888
20351.3841714668160,-17291.4841537855173,-21821.6402040319408,15505.8957829898245
20853.5566950070352,-16505.4290415430005,-22122.4601547795937,13902.2190767373777
21228.7992252156255,-15881.5023881979523,-22298.4634107943566,12672.9497935069703
21460.7118629090473,-15479.7294658367737,-22384.6698503138978,11900.2320832903042
21539.1589129797867,-15340.9722886357740,-22409.7310659373325,11636.6399570503527
21539.1589129797867,-15340.9722886357740,-22409.7310659373325,11636.6399570503527
21617.6059630505260,-15200.7561009420751,-22432.6609353775348,11371.9411629445749
21849.5186007439479,-14777.6048150833994,-22487.6242019174206,10583.0170963124328
22224.7611309525419,-14065.0600718970527,-22533.8509202448804,9286.7542008333694
22726.9336544927573,-13055.8667257089255,-22505.9763250485667,7515.7242321124631
23334.0888223947695,-11747.2599851761079,-22318.7306439446984,5324.3037027460869
24019.6910403675211,-10148.3512673406694,-21875.2470596100211,2796.0012312878648
24753.7762016011584,-8289.3140660094596,-21080.8959896970555,50.1362705639476
25504.2612620183463,-6231.2055351816816,-19864.8105860780488,-2755.7014568388990
26238.3464232519837,-4073.2487387121996,-18209.7400644322988,-5433.4872539998341
26923.9486412247352,-1951.3454099263295,-16184.9239213924739,-7790.2548809220061
27531.1038091267474,-20.5301222476705,-13965.5267843885485,-9672.7361541384362
28033.2763326669665,1578.3230129472115,-11815.4604081322650,-11014.4840178639606
28408.5188628755568,2750.7624479386704,-10027.4312937098330,-11851.4284224322364
28640.4315005689787,3456.8696515180632,-8849.8362851213697,-12285.4411922359905
28718.8785506397180,3691.4788945601331,-8439.8159870218969,-12416.6056101539361
28718.8785506397180,3691.4788945601331,-8439.8159870218969,-12416.6056101539361
28797.3256007104574,3923.6378176926792,-8024.1949035397183,-12539.5291215700527
29029.2382384038792,4593.8310337355206,-6764.8230996751063,-12852.9737899037355
29404.4807686124732,5617.2278518749290,-4643.4794870811002,-13193.7738368873379
29906.6532921526887,6840.2508444610421,-1692.3015737757792,-13311.8104244557999
30513.8084600547008,8049.8593181980950,1934.1474913883649,-12936.5841361159564
31199.4106780274524,9026.7841750964653,5931.4882548549322,-11890.7015229025492
31933.4958392610897,9625.1579090096529,9918.2985587865478,-10180.5527132254974
32683.9808996782776,9816.3627084707387,13565.2042404663189,-7984.3554411690475
33418.0660609119150,9668.4318877536498,16674.9099551690451,-5559.9718564541135
34103.6682788846665,9295.7546668696668,19179.5548488338536,-3157.5182163868008
